StandardizedNames,Source,SourceNames
Bacteroides uniformis,Alice_hCOMs-updated,Bacteroides-uniformis-ATCC-8492
Bacteroides uniformis,Zimmermann,Bacteroides uniformis
Bacteroides uniformis,Maier,Bacteroides uniformis 
Bacteroides xylanisolvens,Alice_hCOMs-updated,Bacteroides-xylanisolvens-XB1A
Bacteroides xylanisolvens,Maier,Bacteroides xylanisolvens
Bacteroides xylanisolvens,Zimmermann,Bacteroides xylanisolvens
Bifidobacterium adolescentis,Alice_hCOMs-removed,Bifidobacterium-adolescentis-L2-32
Bifidobacterium adolescentis,Maier,Bifidobacterium adolescentis
Bifidobacterium adolescentis,Zimmermann,Bifidobacterium adolescentis
Bifidobacterium breve,Alice_hCOMs-common,Bifidobacterium-breve-JCM-1192
Bifidobacterium breve,Zimmermann,Bifidobacterium breve
Bifidobacterium catenulatum,Alice_hCOMs-common,Bifidobacterium-catenulatum-JCM-1194
Bifidobacterium longum subsp. infantis,Alice_hCOMs-removed,Bifidobacterium-longum-infantis-ATCC-55813
Bifidobacterium longum subsp. infantis,Zimmermann,Bifidobacterium longum subsp. Infantis
Bifidobacterium longum subsp. longum,Maier,Bifidobacterium longum subsp. Longum
Bifidobacterium pseudocatenulatum,Alice_hCOMs-common,Bifidobacterium-pseudocatenulatum-JCM-1200
Bifidobacterium ruminantium ,Zimmermann,Bifidobacterium ruminatum
Bilophila wadsworthia,Alice_hCOMs-new,Bilophila-wadsworthia-ATCC-49260
Bilophila wadsworthia,Maier,Bilophila wadsworthia 
Blautia hansenii,Alice_hCOMs-updated,Blautia-hansenii-DSM-20583
Blautia hansenii,Zimmermann,Blautia hansenii
Blautia hydrogenotrophica,Alice_hCOMs-updated,Blautia-hydrogenotrophica-DSM-10507
Blautia luti,Zimmermann,Blautia luti
Blautia obeum,Alice_hCOMs-updated,Blautia-obeum-ATCC-29174
Blautia obeum,Maier,Blautia obeum
Blautia sp.,Alice_hCOMs-new,Blautia-sp-KLE-1732-HM-1032
Blautia wexlerae,Alice_hCOMs-new,Blautia-wexlerae-DSM-19850
Burkholderiales bacterium,Alice_hCOMs-new,Burkholderiales-bacterium-1-1-47
Butyricimonas virosa,Alice_hCOMs-new,Butyricimonas-virosa-DSM-23226
Butyrivibrio crossotus,Alice_hCOMs-updated,Butyrivibrio-crossotus-DSM-2876
Catenibacterium mitsuokai,Alice_hCOMs-common,Catenibacterium-mitsuokai-DSM-15897
Clostridiales bacterium,Alice_hCOMs-new,Clostridiales-bacterium-VE202-03
Clostridiales bacterium,Alice_hCOMs-new,Clostridiales-bacterium-VE202-14
Clostridiales bacterium,Alice_hCOMs-new,Clostridiales-bacterium-VE202-27
Clostridioides difficile,Maier,Clostridium difficile
Clostridioides difficile,Zimmermann,Clostridium difficile
Clostridium perfringens,Maier,Clostridium perfringens
Clostridium sp.,Alice_hCOMs-new,Clostridium-sp-ATCC-29733-VPI-C48-50
Clostridium sp.,Alice_hCOMs-updated,Clostridium-sp-L2-50
Clostridium sp.,Alice_hCOMs-updated,Clostridium-sp-M62-1
Clostridium sp.,Zimmermann,Clostridium sp.
Clostridium sporogenes,Alice_hCOMs-removed,Clostridium-sporogenes-ATCC-15579
Clostridium sporogenes,Zimmermann,Clostridium sporogenes
Collinsella aerofaciens,Alice_hCOMs-common,Collinsella-aerofaciens-ATCC-25986
Collinsella aerofaciens,Maier,Collinsella aerofaciens
Collinsella aerofaciens,Zimmermann,Collinsella aerofaciens
Collinsella intestinalis,Zimmermann,Collinsella intestinalis
Collinsella stercoris,Alice_hCOMs-updated,Collinsella-stercoris-DSM-13279
Coprococcus comes,Alice_hCOMs-updated,Coprococcus-comes-ATCC-27758
Coprococcus comes,Maier,Coprococcus comes
Coprococcus comes,Zimmermann,Coprococcus comes
Coprococcus eutactus,Alice_hCOMs-updated,Coprococcus-eutactus-ATCC-27759
Desulfovibrio piger,Alice_hCOMs-common,Desulfovibrio-piger-ATCC-29098
Dialister invisus,Alice_hCOMs-removed,Dialister-invisus-DSM-15470
Dorea formicigenerans,Alice_hCOMs-updated,Dorea-formicigenerans-ATCC-27755
Dorea formicigenerans,Maier,Dorea formicigenerans
Dorea formicigenerans,Zimmermann,Dorea formicigenerans
Dorea longicatena,Alice_hCOMs-updated,Dorea-longicatena-DSM-13814
Edwardsiella tarda,Zimmermann,Edwardsiella tarda
Eggerthella lenta,Alice_hCOMs-common,Eggerthella-lenta-DSM-2243
Eggerthella lenta,Maier,Eggerthella lenta
Eggerthella lenta,Zimmermann,Eggerthella lenta
Enterobacter cancerogenus,Zimmermann,Enterobacter cancerogenus
Enterocloster asparagiformis,Alice_hCOMs-updated,Enterocloster-asparagiformis-DSM-15981
Enterocloster asparagiformis,Zimmermann,Clostridium asparagiforme
Enterocloster bolteae,Alice_hCOMs-updated,Enterocloster-bolteae-ATCC-BAA-613
Enterocloster bolteae,Maier,Clostridium bolteae
Enterocloster bolteae,Zimmermann,Clostridium bolteae
Enterococcus faecalis,Zimmermann,Enterococcus faecalis
Escherichia coli,Maier,Escherichia coli ED1a
Escherichia coli,Maier,Escherichia coli IAI1
Escherichia coli,Zimmermann,Escherichia coli 
Ethanoligenens harbinense,Alice_hCOMs-common,Ethanoligenens-harbinense-YUAN-3
Eubacterium ventriosum,Alice_hCOMs-updated,Eubacterium-ventriosum-ATCC-27560
Eubacterium ventriosum,Zimmermann,Eubacterium ventriosum
Faecalibacterium prausnitzii,Alice_hCOMs-common,Faecalibacterium-prausnitzii-JCM-31915
Fusobacterium nucleatum subsp. nucleatum,Maier,Fusobacterium nucleatum subsp. Nucleatum
Granulicatella adiacens,Alice_hCOMs-updated,Granulicatella-adiacens-ATCC-49175
Holdemanella biformis,Alice_hCOMs-common,Holdemanella-biformis-DSM-3989
Holdemanella biformis,Zimmermann,Eubacterium biforme
Holdemania filiformis,Alice_hCOMs-common,Holdemania-filiformis-DSM-12042
Hoylesella buccalis,Alice_hCOMs-updated,Prevotella-buccalis-ATCC-35310
Hungatella hathewayi,Alice_hCOMs-common,Clostridium-hathewayi-DSM-13479
Hungatella hathewayi,Zimmermann,Clostridium hathewayi
Intestinibacter bartlettii,Alice_hCOMs-updated,Intestinibacter-bartlettii-DSM-16795
Intestinimonas butyriciproducens,Alice_hCOMs-new,Intestinimonas-butyriciproducens-DSM-26588
Lachnospira eligens,Alice_hCOMs-updated,Eubacterium-eligens-ATCC-27750
Lachnospira eligens,Maier,Eubacterium eligens
Lacrimispora saccharolytica,Alice_hCOMs-common,Lacrimispora-saccharolytica-WM1
Lacrimispora saccharolytica,Maier,Clostridium saccharolyticum
Lacticaseibacillus paracasei,Maier,Lactobacillus paracasei
Lactococcus lactis,Alice_hCOMs-removed,Lactococcus-lactis-DSMZ-20729
Ligilactobacillus ruminis,Alice_hCOMs-updated,Lactobacillus-ruminis-ATCC-25644
